epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,240.316,1.22223,0.55083,1.06041,0.85419,0.87356,0.90961,0.48766,1.65179,0.64836,1.26803,0.0014258,0.0014258,0.0014258
60,244.255,1.19439,0.54265,1.04667,0.87197,0.91334,0.92946,0.50043,1.62075,0.65695,1.24388,0.0014159,0.0014159,0.0014159
61,248.204,1.18104,0.5328,1.04673,0.84171,0.89655,0.91146,0.49702,1.6192,0.65971,1.24919,0.001406,0.001406,0.001406
62,252.196,1.19165,0.53473,1.0368,0.82768,0.88889,0.9096,0.47637,1.66018,0.69277,1.29013,0.0013961,0.0013961,0.0013961
63,256.24,1.18429,0.53014,1.05481,0.86875,0.90038,0.91521,0.4981,1.63961,0.64991,1.27201,0.0013862,0.0013862,0.0013862
64,260.327,1.18407,0.53349,1.03646,0.84093,0.87093,0.91422,0.49016,1.66042,0.66593,1.26817,0.0013763,0.0013763,0.0013763
65,264.311,1.18528,0.53653,1.03085,0.88717,0.88889,0.91955,0.48978,1.6439,0.66034,1.27041,0.0013664,0.0013664,0.0013664
66,268.293,1.15602,0.52894,1.0416,0.88526,0.88682,0.93349,0.50148,1.64111,0.65985,1.27112,0.0013565,0.0013565,0.0013565
67,272.299,1.14778,0.51818,1.02393,0.85969,0.86856,0.91262,0.49869,1.62625,0.65067,1.26591,0.0013466,0.0013466,0.0013466
68,276.28,1.16362,0.52689,1.01709,0.86067,0.87356,0.91446,0.50504,1.60782,0.64499,1.26734,0.0013367,0.0013367,0.0013367
69,280.226,1.15612,0.52575,1.03328,0.84888,0.89272,0.92519,0.49644,1.63739,0.66007,1.28065,0.0013268,0.0013268,0.0013268
70,284.166,1.14311,0.52144,1.03508,0.85499,0.85847,0.90426,0.48165,1.66593,0.65764,1.28717,0.0013169,0.0013169,0.0013169
71,288.187,1.1363,0.51673,1.02525,0.87917,0.88123,0.91579,0.49601,1.65174,0.65345,1.27496,0.001307,0.001307,0.001307
72,292.122,1.13682,0.51524,1.01724,0.88141,0.86973,0.9154,0.49508,1.65198,0.66269,1.28059,0.0012971,0.0012971,0.0012971
73,296.135,1.12031,0.5113,1.0162,0.84253,0.88123,0.90838,0.47329,1.71953,0.6822,1.31428,0.0012872,0.0012872,0.0012872
74,300.215,1.12962,0.51581,1.02757,0.83577,0.87739,0.90382,0.48361,1.64537,0.65058,1.28064,0.0012773,0.0012773,0.0012773
75,304.176,1.11922,0.51466,1.00933,0.87884,0.84674,0.92021,0.48733,1.65657,0.68163,1.28087,0.0012674,0.0012674,0.0012674
76,308.135,1.1128,0.50609,1.01561,0.88632,0.84674,0.9185,0.50659,1.6304,0.65187,1.27718,0.0012575,0.0012575,0.0012575
77,312.124,1.09555,0.50241,1.00951,0.86351,0.87265,0.90928,0.48411,1.67062,0.66776,1.28444,0.0012476,0.0012476,0.0012476
78,316.118,1.11179,0.50978,1.00686,0.86949,0.89342,0.92412,0.49096,1.62378,0.67156,1.26727,0.0012377,0.0012377,0.0012377
79,320.186,1.05989,0.49012,0.98984,0.90503,0.88506,0.93387,0.50395,1.60904,0.65262,1.25929,0.0012278,0.0012278,0.0012278
80,324.14,1.09913,0.49916,1.0031,0.86796,0.88506,0.91127,0.48525,1.66236,0.65688,1.3057,0.0012179,0.0012179,0.0012179
81,328.123,1.1339,0.51059,1.02795,0.86688,0.92318,0.92335,0.48951,1.65468,0.6562,1.2958,0.001208,0.001208,0.001208
82,332.106,1.08107,0.50009,1.00264,0.88718,0.90805,0.92933,0.50034,1.63573,0.62729,1.289,0.0011981,0.0011981,0.0011981
83,336.113,1.06675,0.48794,0.99147,0.85469,0.90143,0.91605,0.50208,1.64336,0.63335,1.28279,0.0011882,0.0011882,0.0011882
84,340.103,1.06134,0.49089,0.99166,0.88495,0.86207,0.91838,0.48731,1.66798,0.64512,1.29653,0.0011783,0.0011783,0.0011783
85,344.09,1.06471,0.48979,0.99256,0.83209,0.89272,0.90493,0.49201,1.64004,0.63742,1.27888,0.0011684,0.0011684,0.0011684
86,348.09,1.04502,0.48779,0.98039,0.84981,0.88506,0.91433,0.49546,1.6232,0.65369,1.27421,0.0011585,0.0011585,0.0011585
87,352.055,1.04722,0.48177,0.97839,0.85327,0.88889,0.90488,0.49242,1.63632,0.64465,1.29213,0.0011486,0.0011486,0.0011486
88,356.048,1.0637,0.48891,0.99756,0.86819,0.90852,0.93043,0.49345,1.62024,0.64469,1.28043,0.0011387,0.0011387,0.0011387
89,360.174,1.06538,0.48721,0.99388,0.85146,0.90045,0.931,0.49845,1.61962,0.63796,1.27956,0.0011288,0.0011288,0.0011288
90,364.154,1.03426,0.4838,0.98716,0.86018,0.89572,0.91726,0.48777,1.67314,0.63808,1.30313,0.0011189,0.0011189,0.0011189
